file	label	scene	speaker	text
activity_menu.rpy	unknown		narrator	gain
activity_menu.rpy	unknown		narrator	cost
activity_menu.rpy	unknown		narrator	need
activity_menu.rpy	unknown		narrator	time
activity_menu.rpy	unknown		narrator	info
activity_menu.rpy	unknown		narrator	earn
activity_menu.rpy	unknown		narrator	
activity_menu.rpy	unknown		narrator	
activity_menu.rpy	unknown		insensitive_color	#3a4a56
activity_menu.rpy	unknown		focus	tooltip
activity_menu.rpy	unknown		background	#12161ef2
activity_menu.rpy	unknown		background	#000000aa
activity_menu.rpy	unknown		narrator	location_library
activity_menu.rpy	unknown		narrator	location_office
activity_menu.rpy	unknown		narrator	location_casino
ambient_npc.rpy	unknown		narrator	darren
ambient_npc.rpy	unknown		narrator	name
ambient_npc.rpy	unknown		narrator	interests
ambient_npc.rpy	unknown		narrator	blurb
ambient_npc.rpy	unknown		narrator	maya
ambient_npc.rpy	unknown		narrator	name
ambient_npc.rpy	unknown		narrator	interests
ambient_npc.rpy	unknown		narrator	blurb
ambient_npc.rpy	unknown		narrator	chris
ambient_npc.rpy	unknown		narrator	name
ambient_npc.rpy	unknown		narrator	interests
ambient_npc.rpy	unknown		narrator	blurb
ambient_npc.rpy	unknown		narrator	rachel
ambient_npc.rpy	unknown		narrator	name
ambient_npc.rpy	unknown		narrator	interests
ambient_npc.rpy	unknown		narrator	blurb
ambient_npc.rpy	unknown		narrator	ben
ambient_npc.rpy	unknown		narrator	name
ambient_npc.rpy	unknown		narrator	interests
ambient_npc.rpy	unknown		narrator	blurb
ambient_npc.rpy	unknown		narrator	tony
ambient_npc.rpy	unknown		narrator	name
ambient_npc.rpy	unknown		narrator	interests
ambient_npc.rpy	unknown		narrator	blurb
ambient_npc.rpy	unknown		narrator	priya
ambient_npc.rpy	unknown		narrator	name
ambient_npc.rpy	unknown		narrator	interests
ambient_npc.rpy	unknown		narrator	blurb
ambient_npc.rpy	unknown		narrator	oskar_j
ambient_npc.rpy	unknown		narrator	name
ambient_npc.rpy	unknown		narrator	interests
ambient_npc.rpy	unknown		narrator	blurb
ambient_npc.rpy	unknown		narrator	dee
ambient_npc.rpy	unknown		narrator	name
ambient_npc.rpy	unknown		narrator	interests
ambient_npc.rpy	unknown		narrator	blurb
ambient_npc.rpy	unknown		narrator	hana
ambient_npc.rpy	unknown		narrator	name
ambient_npc.rpy	unknown		narrator	interests
ambient_npc.rpy	unknown		narrator	blurb
ambient_npc.rpy	unknown		narrator	vic
ambient_npc.rpy	unknown		narrator	name
ambient_npc.rpy	unknown		narrator	interests
ambient_npc.rpy	unknown		narrator	blurb
ambient_npc.rpy	unknown		narrator	sonia
ambient_npc.rpy	unknown		narrator	name
ambient_npc.rpy	unknown		narrator	interests
ambient_npc.rpy	unknown		narrator	blurb
ambient_npc.rpy	unknown		narrator	
ambient_npc.rpy	unknown		narrator	%s is here. She waves you over without looking up.
ambient_npc.rpy	unknown		narrator	eli_hub_laptop
ambient_npc.rpy	unknown		narrator	npc
ambient_npc.rpy	unknown		narrator	weight
ambient_npc.rpy	unknown		narrator	hours
ambient_npc.rpy	unknown		narrator	intro
ambient_npc.rpy	unknown		narrator	label
ambient_npc.rpy	unknown		narrator	marcus_bar_pool
ambient_npc.rpy	unknown		narrator	npc
ambient_npc.rpy	unknown		narrator	weight
ambient_npc.rpy	unknown		narrator	hours
ambient_npc.rpy	unknown		narrator	intro
ambient_npc.rpy	unknown		narrator	label
ambient_npc.rpy	unknown		narrator	zoe_art_market
ambient_npc.rpy	unknown		narrator	npc
ambient_npc.rpy	unknown		narrator	event_context
ambient_npc.rpy	unknown		narrator	weight
ambient_npc.rpy	unknown		narrator	hours
ambient_npc.rpy	unknown		narrator	intro
ambient_npc.rpy	unknown		narrator	label
ambient_npc.rpy	unknown		narrator	nora_cafe_busy
ambient_npc.rpy	unknown		narrator	npc
ambient_npc.rpy	unknown		narrator	incident_context
ambient_npc.rpy	unknown		narrator	weight
ambient_npc.rpy	unknown		narrator	hours
ambient_npc.rpy	unknown		narrator	intro
ambient_npc.rpy	unknown		narrator	label
ambient_npc.rpy	unknown		narrator	sam_gym_challenge
ambient_npc.rpy	unknown		narrator	npc
ambient_npc.rpy	unknown		narrator	event_context
ambient_npc.rpy	unknown		narrator	weight
ambient_npc.rpy	unknown		narrator	hours
ambient_npc.rpy	unknown		narrator	intro
ambient_npc.rpy	unknown		narrator	label
ambient_npc.rpy	unknown		narrator	
ambient_npc.rpy	unknown		narrator	[_wp_name] — [_wp_blurb]
ambient_npc.rpy	unknown		narrator	You spot [_wp_names] in the crowd.
ambient_npc.rpy	unknown		narrator	[_inc_intro]
ambient_npc.rpy	unknown		narrator	([_inc_result])
ambient_npc.rpy	unknown		narrator	[_amb_intro]
ambient_npc.rpy	unknown		narrator	You don't know them. They're just here, the way people are.
ambient_npc.rpy	unknown		narrator	Say hello
ambient_npc.rpy	unknown		narrator	\"Hey.\" A short nod back. That's the whole exchange, and it's fine.
ambient_npc.rpy	unknown		narrator	Leave them to it
ambient_npc.rpy	unknown		narrator	You've seen [_amb_name] enough times now that not saying anything would be odd.
ambient_npc.rpy	unknown		narrator	Chat for a minute
ambient_npc.rpy	unknown		narrator	[_amb_tip]
ambient_npc.rpy	unknown		narrator	Just a nod
ambient_npc.rpy	unknown		narrator	\"There you are,\" [_amb_name] says, like you were expected.
ambient_npc.rpy	unknown		narrator	Catch up
ambient_npc.rpy	unknown		narrator	[_amb_tip]
ambient_npc.rpy	unknown		narrator	Not today
ambient_npc.rpy	unknown		narrator	[_enc_intro]
ambient_npc.rpy	eli_encounter_hub		Eli	Someone donated this to the club. It boots. That is the whole of its good news.
ambient_npc.rpy	eli_encounter_hub		narrator	Offer to help
ambient_npc.rpy	eli_encounter_hub		Eli	Hold the case open. Don't let it close on my hand again.
ambient_npc.rpy	eli_encounter_hub		narrator	Twenty minutes later it has a working fan and a slightly different problem.
ambient_npc.rpy	eli_encounter_hub		narrator	Ask why she bothers
ambient_npc.rpy	eli_encounter_hub		Eli	Because someone will use it. That's usually enough of a reason.
ambient_npc.rpy	marcus_encounter_bar_pool		Marcus	You're just in time to lose at something.
ambient_npc.rpy	marcus_encounter_bar_pool		narrator	Play a frame
ambient_npc.rpy	marcus_encounter_bar_pool		narrator	You lose. He is unbearable about it for exactly one minute, then buys the next round.
ambient_npc.rpy	marcus_encounter_bar_pool		narrator	Just watch
ambient_npc.rpy	marcus_encounter_bar_pool		Marcus	Fine. But you're calling the shots then.
ambient_npc.rpy	zoe_encounter_art_market		Zoe	He's selling primed board as canvas. At canvas prices.
ambient_npc.rpy	zoe_encounter_art_market		narrator	Back her up
ambient_npc.rpy	zoe_encounter_art_market		Zoe	See, that's why I like having you around. Witnesses.
ambient_npc.rpy	zoe_encounter_art_market		narrator	Suggest she let it go
ambient_npc.rpy	zoe_encounter_art_market		Zoe	I will. In a minute. After he admits it.
ambient_npc.rpy	nora_encounter_busy		Nora	Two minutes. Or forty. I genuinely can't tell yet.
ambient_npc.rpy	nora_encounter_busy		narrator	Wait it out
ambient_npc.rpy	nora_encounter_busy		narrator	You wait. When the queue finally breaks she puts a coffee down in front of you without being asked.
ambient_npc.rpy	nora_encounter_busy		narrator	Come back later
ambient_npc.rpy	nora_encounter_busy		Nora	Smart. Go on.
ambient_npc.rpy	sam_encounter_challenge		Sam	Half of these are going to hurt themselves for a number on a whiteboard.
ambient_npc.rpy	sam_encounter_challenge		narrator	Ask what she'd do differently
ambient_npc.rpy	sam_encounter_challenge		Sam	Publish the programme, not the total. Nobody would come.
ambient_npc.rpy	sam_encounter_challenge		narrator	Point out she's still here
ambient_npc.rpy	sam_encounter_challenge		Sam	...Someone has to spot them.
arcs.rpy	arc_zoe_art_1		Zoe	What do I draw? Mostly this.
arcs.rpy	arc_zoe_art_1		narrator	She flips to a page in her sketchbook — waterfront buildings caught in the reflection of broken waves. Lines precise, light somehow alive.
arcs.rpy	arc_zoe_art_1		Zoe	I've been trying to get it right for months. Every time I think I'm close the water changes.
arcs.rpy	arc_zoe_art_1		narrator	Can I look?
arcs.rpy	arc_zoe_art_1		Zoe	Sure.
arcs.rpy	arc_zoe_art_1		narrator	She holds it out. The lines are very good. The light is better than good.
arcs.rpy	arc_zoe_art_1		narrator	It's good.
arcs.rpy	arc_zoe_art_1		Zoe	It's not, yet. But thanks.
arcs.rpy	arc_zoe_art_2		Zoe	There's an exhibition next month. Small gallery, nothing major.
arcs.rpy	arc_zoe_art_2		Zoe	I submitted three pieces. We'll see what they do with them.
arcs.rpy	arc_zoe_art_2		narrator	I'd like to see it.
arcs.rpy	arc_zoe_art_2		Zoe	Yeah?
arcs.rpy	arc_zoe_art_2		narrator	She looks briefly caught off guard — the expression of someone who had already braced for the more likely response.
arcs.rpy	arc_zoe_art_2		Zoe	I'll let you know when the opening is.
arcs.rpy	arc_zoe_art_2		narrator	What's the theme?
arcs.rpy	arc_zoe_art_2		Zoe	The city. How it changes while you're looking at something else.
arcs.rpy	arc_zoe_art_3		Zoe	The gallery rejected the funding application.
arcs.rpy	arc_zoe_art_3		narrator	She says it the way you'd read out a weather report. Factual. Completely flat.
arcs.rpy	arc_zoe_art_3		Zoe	Three years of work. Five hundred words of justification. Apparently not quite what they were looking for.
arcs.rpy	arc_zoe_art_3		narrator	That's genuinely awful. I'm sorry.
arcs.rpy	arc_zoe_art_3		Zoe	Yeah.
arcs.rpy	arc_zoe_art_3		narrator	A long pause. She looks somewhere past your shoulder.
arcs.rpy	arc_zoe_art_3		Zoe	Thanks for not telling me I'll bounce back.
arcs.rpy	arc_zoe_art_3		narrator	What did they say, exactly?
arcs.rpy	arc_zoe_art_3		Zoe	That the work is 'technically accomplished but lacks clear commercial direction.'
arcs.rpy	arc_zoe_art_3		narrator	She says it in perfect quotation marks. Something tightens in her jaw.
arcs.rpy	arc_zoe_art_3		narrator	Maybe the commercial angle isn't the point.
arcs.rpy	arc_zoe_art_3		Zoe	That's a nice thought.
arcs.rpy	arc_zoe_art_3		narrator	Pause.
